Time [ms],Lat,Lng,GPS Alt [m],Sats,Pressure [hPa],Raw Baro Alt [m],Filter Baro Alt [m],Baro Vert Vel [m/s],Baro Vert Acc [m/s^2],Baro Temp [°C],Bat 1 Voltage [V],IMU Acc X [m/s^2],IMU Acc Y [m/s^2],IMU Acc Z [m/s^2],IMU Gyr X [deg/s],IMU Gyr Y [deg/s],IMU Gyr Z [deg/s],State
ets Jun  8 2016 00:22:57
""
rst:0x1 (POWERON_RESET),boot:0x13 (1538467.00,57.3247,25.3252,106.40,12.00,1002.24,-0.17,-2.34,-0.58,-0.48,4.5,4.04,-15.46,0.09,0.62,0.99,-0.24,-0.02, 3
1538498.00,57.3247,25.3252,106.40,12.00,1002.24,-0.17,-2.14,-0.37,-0.28,4.5,4.04,-15.63,-0.28,-0.54,-0.75,-0.07,0.06, 3
1538509.00,57.3247,25.3252,106.40,12.00,1002.24,-0.17,-1.95,-0.18,-0.11,4.5,4.04,-15.87,0.68,-0.22,-0.12,-0.29,0.06, 3
1538523.00,57.3247,25.3252,106.40,12.00,1002.24,-0.17,-1.78,-0.01,0.04,4.5,4.04,-15.69,-1.10,0.32,-0.15,0.20,-0.17, 3
1538533.00,57.3247,25.3252,106.40,12.00,1001.90,2.69,-1.34,0.43,0.43,4.5,4.04,-15.90,0.37,1.46,1.10,0.06,-0.05, 3
1538543.00,57.3247,25.3252,106.40,12.00,1001.90,2.69,-0.96,0.81,0.76,4.5,4.04,-15.95,0.03,1.41,1.25,0.03,-0.15, 3
1538553.00,57.3247,25.3252,106.40,12.00,1001.90,2.69,-0.61,1.16,1.06,4.5,4.04,-16.00,-0.15,-0.59,1.39,0.16,-0.14, 3
1538563.00,57.3247,25.3252,106.40,12.00,1001.90,2.69,-0.30,1.47,1.32,4.5,4.04,-16.00,-1.07,-0.21,1.28,0.15,-0.23, 3
1538575.00,57.3247,25.3252,106.40,12.00,1001.66,4.71,0.17,1.93,1.72,4.5,4.04,-16.00,0.03,-0.04,1.25,0.16,-0.21, 3
1538584.00,57.3247,25.3252,106.40,12.00,1001.66,4.71,0.60,2.36,2.07,4.5,4.04,-16.00,-0.51,-0.27,1.20,0.19,-0.33, 3
1538594.00,57.3247,25.3252,106.40,12.00,1001.66,4.71,0.98,2.74,2.39,4.5,4.04,-16.00,-0.09,0.41,1.17,0.21,-0.32, 3
1538605.00,57.3247,25.3252,106.40,12.00,1001.66,4.71,1.34,3.09,2.68,4.5,4.04,-16.00,-0.20,-0.09,1.13,0.27,-0.40, 3
1538617.00,57.3247,25.3252,106.40,12.00,1001.35,7.33,1.89,3.64,3.13,4.5,4.03,-16.00,-0.38,0.33,1.12,0.31,-0.45, 3
1538626.00,57.3247,25.3252,106.40,12.00,1001.35,7.33,2.41,4.15,3.55,4.5,4.03,-16.00,-0.12,0.15,1.11,0.37,-0.47, 3
1538639.00,57.3247,25.3252,106.40,12.00,1001.35,7.33,2.89,4.62,3.92,4.5,4.03,-16.00,-0.50,-0.14,1.11,0.40,-0.52, 3
1538649.00,57.3247,25.3252,106.40,12.00,1001.35,7.33,3.32,5.04,4.26,4.5,4.03,-16.00,-0.40,0.16,1.05,0.42,-0.56, 3
1538660.00,57.3247,25.3252,106.40,12.00,1001.35,7.33,3.72,5.43,4.56,4.5,4.03,-16.00,-0.11,0.17,1.02,0.44,-0.56, 3
1538671.00,57.3247,25.3252,106.40,12.00,1001.01,10.19,4.33,6.04,5.05,4.5,4.03,-16.00,-0.30,-0.00,1.02,0.49,-0.61, 3
1538680.00,57.3247,25.3252,106.40,12.00,1001.01,10.19,4.90,6.59,5.48,4.5,4.03,-16.00,-0.40,0.24,1.00,0.51,-0.62, 3
1538690.00,57.3247,25.3252,106.40,12.00,1001.01,10.19,5.40,7.08,5.87,4.5,4.03,-16.00,-0.11,0.03,1.00,0.55,-0.62, 3
1538701.00,57.3247,25.3252,106.40,12.00,1001.01,10.19,5.88,7.55,6.22,4.5,4.03,-16.00,-0.34,0.16,1.02,0.59,-0.64, 3
1538713.00,57.3247,25.3252,106.40,12.00,1000.63,13.39,6.60,8.25,6.78,4.5,4.03,-16.00,-0.06,0.20,0.97,0.59,-0.64, 3
1538723.00,57.3247,25.3252,106.40,12.00,1000.63,13.39,7.26,8.89,7.28,4.5,4.03,-16.00,-0.16,0.19,1.00,0.60,-0.64, 3
1538734.00,57.3247,25.3252,106.40,12.00,1000.63,13.39,7.86,9.48,7.73,4.5,4.03,-16.00,-0.15,0.21,1.05,0.62,-0.63, 3
1538745.00,57.3247,25.3252,106.40,12.00,1000.63,13.39,8.44,10.03,8.14,4.5,4.03,-16.00,-0.04,0.24,1.12,0.63,-0.63, 3
1538755.00,57.3247,25.3252,106.40,12.00,1000.11,17.78,9.35,10.91,8.83,4.5,4.03,-16.00,-0.01,0.21,1.21,0.63,-0.61, 3
1538768.00,57.3247,25.3252,106.40,12.00,1000.11,17.78,10.20,11.74,9.46,4.5,4.03,-16.00,-0.11,0.28,1.35,0.63,-0.57, 3
1538778.00,57.3247,25.3252,106.40,12.00,1000.11,17.78,10.96,12.47,10.02,4.5,4.03,-16.00,0.01,0.30,1.48,0.61,-0.54, 3
1538789.00,57.3247,25.3252,106.40,12.00,1000.11,17.78,11.67,13.15,10.53,4.5,4.03,-16.00,-0.03,0.30,1.67,0.61,-0.51, 3
1538798.00,57.3247,25.3252,106.40,12.00,999.51,22.84,12.76,14.22,11.36,4.5,4.03,-16.00,-0.03,0.33,1.80,0.60,-0.48, 3
1538809.00,57.3247,25.3252,106.40,12.00,999.51,22.84,13.71,15.14,12.10,4.5,4.03,-16.00,0.09,0.40,1.90,0.56,-0.43, 3
1538818.00,57.3247,25.3252,106.40,12.00,999.51,22.84,14.64,16.03,12.76,4.5,4.03,-16.00,0.10,0.40,2.05,0.55,-0.39, 3
1538828.00,57.3247,25.3252,106.40,12.00,999.51,22.84,15.46,16.82,13.35,4.5,4.04,-16.00,0.16,0.41,2.16,0.52,-0.34, 3
1538839.00,57.3247,25.3252,106.40,12.00,999.51,22.84,16.24,17.57,13.88,4.5,4.04,-16.00,0.16,0.46,2.28,0.48,-0.30, 3
1538850.00,57.3247,25.3252,106.40,12.00,998.76,29.16,17.51,18.79,14.82,4.6,4.04,-16.00,0.17,0.42,2.40,0.41,-0.22, 3
1538859.00,57.3247,25.3252,106.40,12.00,998.76,29.16,18.66,19.90,15.67,4.6,4.04,-16.00,0.15,0.46,2.50,0.38,-0.18, 3
1538869.00,57.3247,25.3252,106.40,12.00,998.76,29.16,19.70,20.89,16.42,4.6,4.04,-16.00,0.24,0.51,2.60,0.33,-0.11, 3
1538880.00,57.3247,25.3252,106.40,12.00,998.76,29.16,20.70,21.84,17.10,4.6,4.04,-16.00,0.21,0.46,2.70,0.31,-0.05, 3
1538894.00,57.3247,25.3252,106.40,12.00,998.08,34.91,22.19,23.27,18.15,4.5,4.04,-16.00,0.19,0.50,2.85,0.22,0.05, 3
1538904.00,57.3247,25.3252,106.40,12.00,998.08,34.91,23.49,24.51,19.08,4.5,4.04,-16.00,0.18,0.53,2.93,0.20,0.12, 3
1538913.00,57.3247,25.3252,106.40,12.00,998.08,34.91,24.68,25.65,19.92,4.5,4.04,-16.00,0.25,0.46,3.04,0.16,0.19, 3
1538923.00,57.3247,25.3252,106.40,12.00,998.08,34.91,25.75,26.66,20.65,4.5,4.04,-16.00,0.20,0.50,3.09,0.12,0.24, 3
1538933.00,57.3247,25.3252,106.40,12.00,998.08,34.91,26.76,27.61,21.30,4.5,4.04,-16.00,0.18,0.46,3.18,0.08,0.30, 3
1538944.00,57.3247,25.3252,106.40,12.00,997.35,41.07,28.24,29.01,22.34,4.5,4.04,-15.99,0.12,0.47,3.33,0.08,0.37, 3
