Time[s]	Pressure[Pa]	Alt[m]	Acc_x[G]	Acc_y[G]	Acc_z[G]	Gyro_x[º/s]	Gyro_y[º/s]	Gyro_z[º/s]	Temp_bme[*C]	Temp_imu[*C]
1.33	101716.82	-0.12	0.56	-0.38	0.92	72.87	-31.77	24.70	32.74	35.5
1.35	101717.33	-0.12	0.32	-0.74	1.13	176.83	105.98	-9.15	32.74	35.5
1.37	101719.23	-0.28	-0.13	-0.55	1.17	266.52	-42.07	-42.32	32.75	35.3
1.39	101719.23	-0.28	0.82	0.21	1.18	156.22	-57.74	109.33	32.75	35.3
1.41	101722.90	-0.58	0.45	-0.30	0.43	237.26	-33.11	350.30	32.77	35.1
1.43	101722.90	-0.58	0.52	0.11	0.45	364.45	247.07	192.93	32.79	35.3
1.45	101712.25	0.30	0.12	0.16	0.86	314.88	252.26	45.37	32.79	35.3
1.48	101713.09	0.23	0.21	-0.12	1.22	-6.34	243.17	-180.06	32.81	35.3
1.50	101713.09	0.23	0.20	-0.15	1.19	114.63	90.91	56.59	32.81	35.3
1.52	101715.22	0.05	-0.08	0.10	0.97	135.61	52.62	48.35	32.83	35.2
1.54	101715.22	0.05	0.00	0.08	0.98	135.06	71.16	36.77	32.85	35.1
1.56	101716.48	-0.05	-0.04	0.29	0.89	84.82	62.38	42.87	32.85	35.2
1.58	101713.52	0.19	-0.25	0.42	1.11	-7.62	2.01	-23.11	32.85	35.2
1.60	101713.52	0.19	-0.07	0.16	0.94	77.68	-7.07	-24.51	32.85	35.4
1.62	101713.73	0.18	-0.13	0.27	0.90	20.85	94.82	9.51	32.87	35.4
1.65	101713.73	0.18	-0.10	0.31	0.92	40.06	81.10	-41.77	32.89	35.3
1.67	101716.83	-0.08	-0.15	0.23	1.10	39.51	90.98	-40.55	32.89	35.3
1.69	101716.98	-0.09	-0.25	0.27	1.08	25.43	17.13	61.28	32.90	35.1
1.71	101716.98	-0.09	-0.11	0.25	0.94	-38.48	-63.90	92.38	32.90	35.3
1.73	101714.72	0.10	0.00	0.09	1.03	-4.33	-30.00	43.66	32.90	35.5
1.75	101714.72	0.10	-0.06	0.16	1.05	40.00	40.67	2.01	32.90	35.0
1.77	101715.53	0.03	-0.21	0.23	1.14	61.22	105.18	75.67	32.92	35.3
1.79	101715.53	0.03	-0.38	0.31	1.17	75.24	96.83	127.93	32.92	35.3
1.81	101714.84	0.08	-0.28	0.41	0.99	5.98	8.17	69.21	32.92	35.5
1.83	101716.55	-0.06	-0.01	0.24	0.95	-23.17	-27.32	43.66	32.94	35.4
1.85	101716.55	-0.06	0.09	0.26	0.83	18.29	10.85	-13.96	32.94	35.5
1.87	101715.92	-0.01	-0.13	0.22	1.06	21.04	58.96	-84.21	32.95	35.3
1.89	101715.92	-0.01	-0.19	0.19	1.03	79.94	52.07	-90.18	32.95	35.3
1.91	101716.58	-0.06	-0.26	0.42	0.81	62.62	23.35	-60.79	32.96	35.5
1.94	101717.80	-0.16	-0.18	0.30	0.96	4.39	-21.40	-69.21	32.96	35.4
1.96	101717.80	-0.16	-0.18	0.29	0.96	28.11	-20.30	-52.07	32.96	35.4
1.98	101717.97	-0.17	-0.32	0.40	1.04	9.70	-57.44	-14.45	32.97	35.3
