P,V,A
0.64,0.01,0.00
0.65,0.03,0.00
0.78,0.39,0.03
0.82,0.51,0.04
0.82,0.41,0.03
0.82,0.33,0.01
0.79,0.18,-0.02
0.67,-0.36,-0.16
0.57,-0.69,-0.26
0.56,-0.65,-0.25
0.68,-0.18,-0.02
0.76,0.11,0.13
0.83,0.32,0.26
0.99,0.80,0.60
1.30,1.64,1.26
1.53,2.17,1.70
1.80,2.77,2.22
2.11,3.43,2.83
2.37,3.88,3.20
2.69,4.53,3.82
3.16,5.42,4.69
3.69,6.47,5.74
4.05,7.10,6.29
4.57,7.96,7.02
4.92,8.45,7.37
5.27,8.71,7.29
5.63,9.03,7.33
6.11,8.92,6.54
6.37,9.03,6.42
6.62,8.94,6.00
6.87,9.02,5.87
7.42,9.69,6.34
7.84,9.98,6.36
8.45,10.62,6.72
8.97,11.22,7.12
9.70,12.06,7.65
10.25,12.43,7.68
10.94,13.31,8.29
11.88,14.54,9.15
12.65,15.22,9.41
13.71,16.52,10.22
14.67,17.65,10.89
15.69,18.69,11.41
16.37,19.16,11.48
17.34,19.92,11.70
18.30,20.89,12.18
19.23,21.39,12.14
20.00,21.88,12.20
20.85,22.16,11.99
21.33,22.03,11.57
22.07,22.06,11.21
22.86,22.15,10.90
23.54,22.36,10.78
24.23,22.26,10.37
25.07,22.76,10.47
26.15,23.03,10.27
26.66,22.84,9.89
27.30,22.59,9.43
27.81,22.45,9.12
28.62,22.51,8.89
29.21,22.24,8.47
0.64,0.01,0.00
0.65,0.03,0.00
0.77,0.36,0.02
0.82,0.50,0.04
0.82,0.39,0.02
0.82,0.30,0.01
0.79,0.15,-0.02
0.66,-0.40,-0.17
0.56,-0.72,-0.28
0.55,-0.67,-0.25
0.67,-0.18,-0.00
0.76,0.11,0.17
0.83,0.31,0.30
0.99,0.78,0.66
1.30,1.59,1.37
1.53,2.12,1.83
1.81,2.72,2.38
2.12,3.39,3.03
2.39,3.84,3.40
2.72,4.49,4.04
3.19,5.40,4.92
3.73,6.46,5.98
4.10,7.08,6.50
4.63,7.93,7.19
4.98,8.41,7.47
5.38,8.62,7.24
5.67,8.85,7.23
5.94,8.81,6.80
6.26,9.07,6.83
6.56,9.10,6.52
6.89,9.23,6.36
7.47,9.91,6.78
7.81,10.17,6.82
8.42,10.83,7.19
8.93,11.45,7.60
9.67,12.32,8.12
10.24,12.71,8.16
10.93,13.60,8.74
11.81,14.80,9.59
12.66,15.53,9.83
13.73,16.83,10.61
14.69,17.94,11.24
15.71,18.98,11.73
16.39,19.43,11.78
17.37,20.19,11.98
18.33,21.14,12.42
19.26,21.63,12.37
20.03,22.11,12.41
20.88,22.38,12.20
21.36,22.25,11.78
22.10,22.27,11.42
22.90,22.36,11.10
23.57,22.56,10.98
24.26,22.46,10.56
25.10,22.95,10.65
26.02,23.23,10.52
26.57,23.12,10.19
27.25,22.94,9.77
28.04,22.80,9.36
28.84,22.76,9.05
29.24,22.41,8.63
29.93,22.13,8.19
30.34,21.91,7.90
30.87,21.51,7.43
31.24,21.16,7.06
31.84,20.93,6.72
32.48,20.71,6.41
32.79,20.28,6.03
33.19,20.03,5.75
33.89,19.98,5.58
34.43,19.68,5.26
34.89,19.49,5.04
35.48,19.28,4.79
35.87,19.04,4.56
36.32,18.62,4.21
36.72,18.40,4.01
37.32,18.00,3.66
37.51,17.46,3.29
37.91,17.03,2.97
38.37,16.72,2.73
38.67,16.40,2.50
39.05,15.92,2.18
39.27,15.58,1.95
39.68,15.24,1.72
39.87,14.82,1.46
40.21,14.41,1.21
40.48,14.12,1.03
40.98,13.90,0.88
41.33,13.50,0.65
41.53,13.14,0.45
41.76,12.84,0.28
42.03,12.42,0.05
42.24,12.13,-0.11
42.61,11.68,-0.33
42.89,11.33,-0.51
43.09,10.87,-0.74
43.26,10.56,-0.89
43.64,10.40,-0.95
43.86,10.17,-1.06
44.12,9.87,-1.19
44.42,9.62,-1.30
44.65,9.38,-1.39
44.84,9.06,-1.53
45.03,8.82,-1.63
45.31,8.60,-1.71
45.45,8.34,-1.81
45.70,8.09,-1.90
45.95,7.99,-1.92
46.20,7.77,-1.99
46.40,7.48,-2.09
46.56,7.28,-2.16
46.79,7.06,-2.22
46.91,6.82,-2.31
47.10,6.67,-2.34
47.32,6.47,-2.39
47.59,6.15,-2.49
47.67,5.86,-2.59
47.74,5.48,-2.73
47.80,5.22,-2.81
47.89,4.89,-2.92
47.88,4.55,-3.04
48.04,4.37,-3.07
48.17,4.11,-3.13
48.20,3.88,-3.19
48.31,3.74,-3.21
48.48,3.61,-3.20
48.58,3.47,-3.22
48.65,3.22,-3.28
48.69,3.02,-3.32
48.74,2.76,-3.38
48.75,2.46,-3.46
48.77,2.26,-3.50
48.80,2.00,-3.56
48.79,1.78,-3.61
48.81,1.54,-3.65
48.78,1.25,-3.72
48.76,0.99,-3.77
48.74,0.74,-3.81
48.82,0.68,-3.77
48.86,0.54,-3.76
48.89,0.43,-3.75
48.89,0.24,-3.76
48.86,0.05,-3.79
