P,V,A
-53.63,0.00,0.00
-52.22,3.43,0.18
-52.82,0.04,-0.27
-52.83,-0.05,-0.28
-53.50,-2.08,-1.04
-52.65,0.76,0.62
-53.08,-0.49,-0.39
-52.48,1.12,1.17
-52.70,0.37,0.24
-53.95,-2.89,-3.43
-54.00,-2.56,-2.64
-54.39,-3.11,-2.94
-54.61,-3.10,-2.60
-54.42,-2.13,-1.32
-54.40,-1.67,-0.73
-54.28,-1.10,-0.13
-54.29,-0.89,0.07
-54.48,-1.07,-0.08
-54.45,-0.80,0.14
-54.83,-1.34,-0.29
-54.69,-0.86,0.09
-54.51,-0.39,0.41
-54.84,-0.83,0.09
-54.54,-0.20,0.49
-54.71,-0.39,0.34
-54.50,0.03,0.57
-54.20,0.52,0.82
-54.44,0.18,0.58
-54.95,-0.51,0.16
-54.46,0.26,0.57
-54.24,0.57,0.70
-54.55,0.15,0.45
-54.60,0.11,0.40
-54.84,-0.17,0.24
-54.55,0.24,0.43
-54.92,-0.21,0.19
-54.45,0.41,0.48
-54.30,0.59,0.54
-54.02,0.91,0.66
-53.93,0.96,0.65
-54.01,0.82,0.56
-54.14,0.61,0.43
-54.30,0.39,0.31
-54.35,0.32,0.26
-54.62,-0.01,0.10
-55.04,-0.48,-0.12
-55.14,-0.55,-0.15
-54.88,-0.20,0.02
-54.66,0.08,0.15
-55.08,-0.40,-0.08
-54.89,-0.14,0.04
-55.02,-0.26,-0.01
-55.35,-0.62,-0.17
-55.01,-0.17,0.04
-54.51,0.43,0.31
-54.47,0.46,0.31
-54.40,0.51,0.32
-54.61,0.23,0.17
-54.57,0.27,0.18
-54.88,-0.09,0.01
-54.48,0.38,0.22
-54.31,0.54,0.29
-54.11,0.73,0.36
-54.31,0.46,0.22
-54.36,0.37,0.17
-54.28,0.43,0.19
-54.50,0.14,0.05
-54.29,0.37,0.15
-54.28,0.35,0.13
-54.42,0.16,0.04
-54.49,0.06,-0.01
-54.85,-0.36,-0.20
-55.29,-0.83,-0.41
-55.21,-0.68,-0.32
-55.17,-0.59,-0.26
-55.15,-0.51,-0.21
-54.97,-0.27,-0.09
-54.88,-0.14,-0.03
-54.90,-0.15,-0.03
-54.96,-0.21,-0.06
-54.67,0.15,0.11
-54.98,-0.22,-0.06
-55.09,-0.32,-0.11
-54.98,-0.16,-0.03
-54.98,-0.15,-0.02
-55.21,-0.40,-0.14
-55.13,-0.28,-0.07
-55.44,-0.61,-0.22
