P,V,A
-51.99,0.00,0.00
-51.56,0.63,0.03
-52.47,-2.02,-0.30
-52.76,-2.28,-0.35
-53.51,-3.73,-0.80
-52.86,-1.11,0.39
-53.26,-1.75,-0.01
-52.72,-0.07,1.21
-52.88,-0.30,0.91
-53.95,-2.60,-1.33
-54.01,-2.22,-0.82
-54.36,-2.56,-1.07
-54.56,-2.50,-0.91
-54.41,-1.68,0.00
-54.38,-1.24,0.42
-54.27,-0.69,0.88
-54.27,-0.45,1.01
-54.42,-0.56,0.83
-54.39,-0.30,0.96
-54.72,-0.76,0.53
-54.60,-0.36,0.78
-54.45,0.04,1.01
-54.73,-0.32,0.69
-54.47,0.19,0.98
-54.61,0.05,0.83
-54.43,0.38,0.98
-54.17,0.79,1.16
-54.35,0.55,0.95
-54.77,0.02,0.60
-54.37,0.57,0.87
-54.19,0.81,0.94
-54.42,0.53,0.75
-54.45,0.50,0.69
-54.64,0.30,0.56
-54.43,0.55,0.65
-54.71,0.26,0.49
-54.37,0.63,0.63
-54.24,0.75,0.66
-54.02,0.96,0.72
-53.92,1.03,0.71
-53.94,0.98,0.66
-54.01,0.89,0.59
-54.10,0.78,0.52
-54.12,0.74,0.48
-54.30,0.57,0.39
-54.59,0.31,0.27
-54.69,0.23,0.22
-54.56,0.34,0.26
-54.43,0.43,0.29
-54.71,0.21,0.18
-54.62,0.28,0.20
-54.71,0.20,0.16
-54.94,0.03,0.08
-54.77,0.16,0.13
-54.49,0.38,0.22
-54.45,0.40,0.22
-54.40,0.43,0.22
-54.51,0.33,0.17
-54.48,0.34,0.17
-54.66,0.20,0.10
-54.44,0.36,0.16
-54.34,0.42,0.18
-54.20,0.51,0.21
-54.29,0.43,0.17
-54.30,0.40,0.15
-54.24,0.43,0.15
-54.35,0.33,0.10
-54.23,0.40,0.13
-54.22,0.39,0.12
-54.29,0.33,0.08
-54.33,0.28,0.06
-54.53,0.11,-0.02
-54.81,-0.10,-0.11
-54.81,-0.11,-0.11
-54.84,-0.13,-0.11
-54.86,-0.15,-0.12
