T;A0_Volts (-);A1_Volts (-);P_Volts (-);Mag_Volts (-);Photo_Volts (-);Tint_Volts (-);Text_Volts (-);Batt_Volts (-);T0 (C);T1 (C);T2 (C);T3 (C);T4 (C);T5 (C);T6 (C);T7 (C);T8 (C);T9 (C);P;Pressure (kPa);Acceleration_x (g);Acceleration_y (g);GPS_Velocity (m/s);GPS_Longitude (-);GPS_Lattitude (-);GPS_Altitude (-);T_internal (-);T_external (-);D1_Acceleration_x (-);D1_Acceleration_y (-);D1_Acceleration_z (-);D1_Spin_x (-);D1_Spin_y (-);D1_Spin_z (-);D1_Magnetic_Field_x (-);D1_Magnetix_Field_y (-);D1_Magnetic_Field_z (-);R_A0 (-);R_A1 (-);R_A2 (-);R_A3 (-);R_A4 (-);R_A5 (-);R_A6 (-);R_A7 (-);R_A8 (-);R_A9 (-);Main_FLOCK - Main stream (-);P0/Main stream/SFLOCK - Main stream (-);P0/Main stream/SFID - Main stream (-);FrameSync (-);Framecounter (-);A0 (-);A1 (-);A2 (-);A3 (-);A4 (-);A5 (-);A6 (-);A7 (-);D0_Temp_Array (-);D1_GPS_IMU (-);TempArr_FLOCK - Temp Array (-);P0/Temp Array/SFLOCK - Temp Array (-);P0/Temp Array/SFID - Temp Array (-);D0_FrameSync (-);D0_A0 (-);D0_A1 (-);D0_A2 (-);D0_A3 (-);D0_A4 (-);D0_A5 (-);D0_A6 (-);D0_A7 (-);D0_A8 (-);D0_A9 (-);D0_Voltage (-);D0_Current (-);GPSIMU_FLOCK - GPS/IMU (-);P0/GPS/IMU/SFLOCK - GPS/IMU (-);P0/GPS/IMU/SFID - GPS/IMU (-);D1_FrameSync (-);D1_NumberOfSatellites (-);D1_3D-fix (-);D1_Status (-);D1_Longitude (-);D1_Lattitude (-);D1_Altitude (-);D1_Velocity (-);D1_Supersync (-);D1_SuperFrameID (-);D1_Ax (-);D1_Ay (-);D1_Az (-);D1_Gx (-);D1_Gy (-);D1_Gz (-);D1_Mx (-);D1_My (-);D1_Mz (-);FLOCK - Main stream (-);P1/Main stream/SFLOCK - Main stream (-);P1/Main stream/SFID - Main stream (-)
200,0083;2,4901962;2,5490198;4,0980392;2,7450981;0,15686275;0,33333334;0,13725491;0,019607844;;;;;;;;;;;2733,9104;71,557739;-117,15687;-54,166668;;;;;22,638147;52,020813;;;;;;;;;;;;;;;;;;;;2;2;;60304;48947;127;130;209;140;8;17;7;1;38;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200,0168;2,4901962;2,5490198;4,0980392;2,7254903;0,15686275;0,33333334;0,13725491;0,019607844;;;;;;;;;;;2782,2068;71,122009;-117,15687;-54,166668;;;;;22,638147;52,020813;;;;;;;;;;;;;;;;;;;;2;2;;60304;48966;127;130;209;139;8;17;7;1;10;239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200,02575;2,509804;2,5294118;4,0980392;2,7254903;0,17647059;0,33333334;0,13725491;0,019607844;;;;;;;;;;;2782,2068;71,122009;-116,17648;-54,166668;;;;;22,816401;51,620647;;;;;;;;;;;;;;;;;;;;2;2;;60304;48986;128;129;209;139;9;17;7;1;11;239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200,03475;2,4901962;2,5490198;4,0980392;2,7450981;0,15686275;0,33333334;0,13725491;0,019607844;;;;;;;;;;;2733,9104;71,557739;-117,15687;-54,166668;;;;;22,638147;52,020813;;;;;;;;;;;;;;;;;;;;2;2;;60304;49006;127;130;209;140;8;17;7;1;11;239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200,04325;2,4901962;2,5490198;4,0980392;2,7450981;0,15686275;0,33333334;0,13725491;0,019607844;;;;;;;;;;;2733,9104;71,557739;-117,15687;-54,166668;;;;;22,638147;52,020813;;;;;;;0,18256001;;;;;;;;;;;;;2;2;;60304;49025;127;130;209;140;8;17;7;1;79;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1304;;;;;
200,0522;2,4901962;2,5490198;4,1176472;2,7450981;0,15686275;0,33333334;0,13725491;0,019607844;;;;;;;;;;;2733,9104;71,557739;-117,15687;-54,166668;;;;;22,638147;52,020813;;;;;;;;;;;;;;;;;;;;2;2;;60304;49045;127;130;210;140;8;17;7;1;52;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200,06115;2,4901962;2,5490198;4,0980392;2,7254903;0,15686275;0,33333334;0,13725491;0,019607844;;;;;;;;;;;2782,2068;71,122009;-117,15687;-54,166668;;;;;22,638147;52,020813;;;;;;;0,18928;;;;;;;;;;;;;2;2;;60304;49065;127;130;209;139;8;17;7;1;68;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1352;;;;;
200,06965;2,4901962;2,5490198;4,1176472;2,7450981;0,15686275;0,33333334;0,13725491;0,019607844;;;;;;;;;;;2733,9104;71,557739;-117,15687;-54,166668;;;;;22,638147;52,020813;;;;;;;;;;;;;;;;;;;;2;2;;60304;49084;127;130;210;140;8;17;7;1;11;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200,07865;2,4901962;2,5294118;4,0980392;2,7450981;0,15686275;0,33333334;0,13725491;0,019607844;;;;;;;;;;;2733,9104;71,557739;-117,15687;-54,166668;;;;;22,638147;51,620647;;;;;;;;;;;;;;;;;;;;2;2;;60304;49104;127;129;209;140;8;17;7;1;6;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200,08715;2,509804;2,5490198;4,0980392;2,7254903;0,15686275;0,33333334;0,13725491;0,019607844;;;;;;;;;;;2782,2068;71,122009;-117,15687;-54,166668;;;;;22,816401;52,020813;;;;;;0,63;;;;;;;;;;;;;;2;2;;60304;49123;128;130;209;139;8;17;7;1;53;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;
