P,T
-55.38805043,0
-51.16989074,0.106
-53.62360588,0.211
-52.84883732,0.317
-54.09206457,0.422
-51.598025,0.527
-53.62360588,0.633
-51.72958239,0.738
-53.10955473,0.844
-55.51967238,0.949
-53.6641753,1.054
-54.52489916,1.16
-54.44132819,1.265
-53.752726,1.371
-54.05399743,1.476
-53.87936575,1.581
-54.1400727,1.687
-54.61346861,1.792
-54.22614696,1.897
-55.29946411,2.003
-54.22116768,2.108
-54.0564813,2.214
-55.34502026,2.319
-53.83632817,2.424
-54.99825415,2.53
-54.00847699,2.635
-53.63101417,2.741
-55.0412849,2.846
-56.0739471,2.951
-53.2817323,3.057
-53.83632817,3.162
-55.38552182,3.268
-54.74257127,3.373
-55.4285503,3.478
-53.84128147,3.584
-55.85882115,3.689
-53.2817323,3.794
-54.05399743,3.899
-53.49448348,4.004
-53.96792114,4.11
-54.43883133,4.215
-54.69703179,4.32
-54.86664907,4.426
-54.56293032,4.531
-55.38552182,4.637
-56.0739471,4.742
-55.25391059,4.847
-54.09206457,4.953
-54.05399743,5.058
-56.15744111,5.164
-54.31222021,5.269
-55.29441266,5.374
-56.11186523,5.48
-54.00847699,5.585
-53.18582404,5.691
-54.48186537,5.796
-54.35026851,5.901
-55.29693838,6.007
-54.51989967,6.112
-55.72720239,6.217
-53.44897852,6.323
-54.00599457,6.428
-53.752726,6.534
-54.99573852,6.639
-54.61096598,6.744
-54.17813357,6.85
-55.17037564,6.955
-53.79329033,7.061
-54.35276249,7.166
-54.86664907,7.271
-54.73254343,7.377
-55.7702274,7.482
-56.2865078,7.588
-54.78058818,7.693
-54.90465367,7.798
-54.90967914,7.904
-54.39579703,8.009
-54.5679327,8.115
-54.91219188,8.22
-55.08179689,8.325
-53.87193148,8.431
-55.81325216,8.536
-55.29188693,8.641
-54.60846335,8.747
-54.94516642,8.852
-55.7651442,8.958
-54.81859905,9.063
-56.15744111,9.168
-56.28138996,9.274
-57.05827522,9.379
-55.38552182,9.485
-54.86664907,9.59
-55.42096013,9.695
-55.59812585,9.801
-54.90716641,9.906
-54.95019478,10.012
-54.86664907,10.117
