Time [s],Baro_P [m],Kalman_P [m],Kalman_V [m/s],Kalman_A [m/s^2],Kalman_Gain_P,Kalman_Uncertainty_P
151,0.00,0.00,0.00,0.00,0.78049,0.02201
202,0.00,0.00,0.00,0.00,0.44258,0.01248
254,0.00,0.00,0.00,0.00,0.31755,0.00895
305,-0.49,-0.13,-0.14,-0.02,0.25853,0.00729
355,-0.49,-0.22,-0.28,-0.04,0.22895,0.00646
405,-0.49,-0.29,-0.39,-0.06,0.21524,0.00607
457,-0.49,-0.35,-0.48,-0.08,0.21177,0.00597
508,-0.49,-0.40,-0.55,-0.10,0.21184,0.00597
558,-0.49,-0.44,-0.59,-0.11,0.21277,0.00600
608,-0.49,-0.47,-0.61,-0.12,0.21395,0.00603
670,-0.49,-0.51,-0.60,-0.11,0.22452,0.00633
721,-0.41,-0.51,-0.54,-0.08,0.22252,0.00627
771,-0.41,-0.51,-0.48,-0.06,0.21911,0.00618
821,-0.41,-0.51,-0.43,-0.03,0.21549,0.00608
873,-0.41,-0.50,-0.37,0.00,0.21325,0.00601
924,-0.49,-0.52,-0.36,0.01,0.20992,0.00592
974,-0.49,-0.53,-0.34,0.02,0.20595,0.00581
1024,-0.49,-0.53,-0.32,0.04,0.20231,0.00571
1076,-0.49,-0.54,-0.29,0.05,0.20033,0.00565
1127,-0.41,-0.53,-0.24,0.09,0.19776,0.00558
1177,-0.41,-0.51,-0.18,0.13,0.19483,0.00549
1234,-0.41,-0.50,-0.13,0.17,0.19670,0.00555
1286,-0.41,-0.49,-0.08,0.20,0.19485,0.00549
1337,-0.41,-0.48,-0.04,0.22,0.19261,0.00543
1387,-0.41,-0.47,-0.01,0.24,0.19009,0.00536
1437,-0.41,-0.46,0.03,0.26,0.18798,0.00530
1489,-0.41,-0.45,0.05,0.27,0.18736,0.00528
1540,-0.58,-0.47,0.02,0.23,0.18614,0.00525
1590,-0.58,-0.49,-0.01,0.20,0.18442,0.00520
1640,-0.58,-0.50,-0.03,0.17,0.18287,0.00516
1692,-0.58,-0.52,-0.04,0.15,0.18258,0.00515
1743,-0.82,-0.57,-0.14,0.07,0.18154,0.00512
1793,-0.82,-0.62,-0.22,-0.00,0.17990,0.00507
1848,-0.82,-0.67,-0.28,-0.05,0.18105,0.00511
1900,-0.82,-0.71,-0.33,-0.09,0.18000,0.00508
1951,-0.66,-0.71,-0.31,-0.07,0.17827,0.00503
2001,-0.66,-0.72,-0.29,-0.05,0.17600,0.00496
2051,-0.66,-0.72,-0.27,-0.04,0.17383,0.00490
2103,-0.66,-0.72,-0.25,-0.02,0.17272,0.00487
2154,-0.74,-0.73,-0.25,-0.02,0.17095,0.00482
2204,-0.74,-0.75,-0.25,-0.02,0.16867,0.00476
2254,-0.74,-0.76,-0.25,-0.02,0.16646,0.00469
2306,-0.74,-0.76,-0.24,-0.01,0.16522,0.00466
2357,-0.41,-0.72,-0.15,0.06,0.16338,0.00461
2414,-0.41,-0.67,-0.06,0.11,0.16413,0.00463
2464,-0.41,-0.63,0.01,0.16,0.16131,0.00455
2516,-0.41,-0.60,0.07,0.19,0.15949,0.00450
2567,-0.41,-0.56,0.13,0.22,0.15722,0.00443
2617,-0.41,-0.54,0.17,0.24,0.15461,0.00436
2667,-0.41,-0.51,0.21,0.26,0.15215,0.00429
2719,-0.41,-0.48,0.24,0.27,0.15054,0.00425
2770,-0.41,-0.46,0.27,0.28,0.14853,0.00419
2820,-0.41,-0.44,0.29,0.28,0.14620,0.00412
2870,-0.41,-0.43,0.31,0.28,0.14397,0.00406
2922,-0.41,-0.41,0.32,0.28,0.14251,0.00402
2973,-0.49,-0.41,0.32,0.27,0.14068,0.00397
3028,-0.49,-0.40,0.31,0.26,0.14015,0.00395
3078,-0.49,-0.40,0.31,0.25,0.13785,0.00389
3130,-0.49,-0.40,0.30,0.24,0.13628,0.00384
3181,-0.33,-0.38,0.32,0.25,0.13441,0.00379
3231,-0.33,-0.36,0.34,0.25,0.13230,0.00373
3281,-0.33,-0.34,0.36,0.25,0.13030,0.00367
3333,-0.33,-0.32,0.37,0.25,0.12894,0.00364
3384,-0.74,-0.36,0.31,0.22,0.12730,0.00359
3434,-0.74,-0.39,0.27,0.19,0.12544,0.00354
3484,-0.74,-0.42,0.22,0.16,0.12366,0.00349
3536,-0.74,-0.45,0.19,0.14,0.12245,0.00345
3594,-0.41,-0.44,0.20,0.14,0.12268,0.00346
3644,-0.41,-0.42,0.21,0.14,0.12075,0.00341
3694,-0.41,-0.41,0.22,0.14,0.11893,0.00335
3746,-0.41,-0.40,0.22,0.14,0.11765,0.00332
3797,-0.33,-0.38,0.24,0.15,0.11616,0.00328
3847,-0.33,-0.37,0.25,0.15,0.11450,0.00323
3897,-0.33,-0.35,0.26,0.15,0.11292,0.00318
3949,-0.33,-0.34,0.27,0.15,0.11182,0.00315
4000,-0.66,-0.36,0.24,0.13,0.11053,0.00312
4050,-0.66,-0.38,0.21,0.12,0.10906,0.00308
4100,-0.66,-0.40,0.19,0.11,0.10766,0.00304
4152,-0.66,-0.42,0.17,0.10,0.10670,0.00301
4208,-0.41,-0.41,0.17,0.10,0.10648,0.00300
4258,-0.41,-0.40,0.17,0.10,0.10505,0.00296
4308,-0.41,-0.40,0.18,0.09,0.10368,0.00292
4360,-0.41,-0.39,0.18,0.09,0.10273,0.00290
4411,-0.33,-0.37,0.19,0.10,0.10161,0.00287
4461,-0.33,-0.36,0.20,0.10,0.10036,0.00283
4511,-0.33,-0.35,0.20,0.10,0.09916,0.00280
4563,-0.33,-0.34,0.21,0.10,0.09832,0.00277
4614,-0.25,-0.32,0.22,0.10,0.09733,0.00274
4664,-0.25,-0.30,0.23,0.10,0.09621,0.00271
4714,-0.25,-0.29,0.24,0.10,0.09514,0.00268
4772,-0.25,-0.27,0.25,0.10,0.09530,0.00269
4823,0.25,-0.21,0.29,0.12,0.09431,0.00266
4873,0.25,-0.15,0.34,0.13,0.09321,0.00263
4923,0.25,-0.10,0.37,0.14,0.09215,0.00260
4975,0.25,-0.05,0.40,0.15,0.09142,0.00258
5026,1.81,0.14,0.55,0.20,0.09055,0.00255
5076,1.81,0.31,0.68,0.24,0.08958,0.00253
5126,1.81,0.47,0.79,0.28,0.08864,0.00250
5178,1.81,0.63,0.90,0.31,0.08800,0.00248
5229,4.44,1.00,1.17,0.40,0.08723,0.00246
5279,4.44,1.36,1.42,0.48,0.08636,0.00244
5329,4.44,1.68,1.64,0.55,0.08552,0.00241
5386,4.44,2.01,1.85,0.61,0.08556,0.00241
5437,5.51,2.39,2.10,0.68,0.08482,0.00239
5487,5.51,2.75,2.32,0.75,0.08397,0.00237
5537,5.51,3.09,2.53,0.80,0.08316,0.00235
5589,5.51,3.41,2.71,0.85,0.08261,0.00233
5640,5.92,3.74,2.89,0.90,0.08195,0.00231
5690,5.92,4.05,3.06,0.94,0.08120,0.00229
5740,5.92,4.34,3.21,0.97,0.08048,0.00227
5792,5.92,4.62,3.34,1.00,0.08000,0.00226
5843,5.26,4.83,3.42,1.00,0.07942,0.00224
5893,5.26,5.03,3.48,1.01,0.07874,0.00222
5943,5.26,5.21,3.53,1.01,0.07809,0.00220
5995,5.26,5.38,3.58,1.01,0.07768,0.00219
6053,6.08,5.63,3.67,1.02,0.07787,0.00220
6103,6.08,5.83,3.73,1.02,0.07720,0.00218
6153,6.08,6.03,3.78,1.02,0.07656,0.00216
6205,6.08,6.21,3.83,1.02,0.07614,0.00215
6256,6.08,6.39,3.87,1.01,0.07562,0.00213
6306,6.08,6.54,3.89,1.01,0.07503,0.00212
6356,6.08,6.69,3.91,1.00,0.07446,0.00210
6408,6.08,6.83,3.92,0.98,0.07410,0.00209
6459,1.48,6.63,3.70,0.90,0.07366,0.00208
6509,1.48,6.42,3.48,0.81,0.07313,0.00206
6559,1.48,6.23,3.28,0.74,0.07263,0.00205
6611,1.48,6.04,3.08,0.66,0.07233,0.00204
6667,2.06,5.91,2.92,0.60,0.07239,0.00204
6717,2.06,5.77,2.76,0.54,0.07188,0.00203
6767,2.06,5.64,2.61,0.48,0.07140,0.00201
6819,2.06,5.51,2.47,0.43,0.07112,0.00201
6870,0.16,5.25,2.24,0.35,0.07075,0.00200
6920,0.16,5.00,2.02,0.27,0.07031,0.00198
6970,0.16,4.75,1.81,0.20,0.06988,0.00197
7022,0.16,4.52,1.62,0.14,0.06965,0.00196
7073,1.15,4.36,1.47,0.09,0.06934,0.00196
7123,1.15,4.21,1.33,0.04,0.06895,0.00194
7173,1.15,4.06,1.20,-0.00,0.06858,0.00193
7225,1.15,3.92,1.07,-0.04,0.06839,0.00193
7283,5.01,4.05,1.11,-0.03,0.06871,0.00194
7333,5.01,4.17,1.15,-0.02,0.06832,0.00193
7383,5.01,4.28,1.18,-0.00,0.06796,0.00192
7435,5.01,4.39,1.21,0.00,0.06777,0.00191
7486,21.64,5.61,1.93,0.24,0.06751,0.00190
7536,21.64,6.78,2.61,0.45,0.06718,0.00189
7586,21.64,7.90,3.24,0.65,0.06687,0.00189
7638,21.64,8.97,3.84,0.83,0.06673,0.00188
7689,77.63,13.72,6.70,1.74,0.06652,0.00188
7739,77.63,18.27,9.39,2.58,0.06624,0.00187
7789,77.63,22.63,11.91,3.36,0.06597,0.00186
7841,77.63,26.83,14.29,4.08,0.06587,0.00186
7897,173.05,37.25,20.43,6.00,0.06609,0.00186
7947,173.05,47.15,26.19,7.78,0.06582,0.00186
7997,173.05,56.64,31.59,9.42,0.06556,0.00185
8049,173.05,65.81,36.69,10.93,0.06548,0.00185
8100,253.25,79.81,44.68,13.36,0.06532,0.00184
8150,253.25,93.20,52.17,15.60,0.06509,0.00184
8200,253.25,106.04,59.20,17.65,0.06487,0.00183
8252,253.25,118.49,65.84,19.54,0.06482,0.00183
8303,293.33,132.97,73.62,21.77,0.06470,0.00182
8353,293.33,146.78,80.89,23.81,0.06451,0.00182
8403,293.33,160.02,87.68,25.67,0.06432,0.00181
8461,293.33,173.45,94.24,27.35,0.06477,0.00183
8512,309.66,186.78,100.82,29.07,0.06464,0.00182
