Time [s],Time Change [s],Baro_P [m],Kalman_P [m],Kalman_V [m/s],Kalman_A [m/s^2],Kalman_Gain_P,Kalman_Uncertainty_P
150,0.0500,0.00,0.00,0.00,0.00,0.78047,0.02201
201,0.0510,0.00,0.00,0.00,0.00,0.44255,0.01248
253,0.0520,0.00,0.00,0.00,0.00,0.31751,0.00895
304,0.0510,-0.41,-0.11,-0.12,-0.02,0.25849,0.00729
354,0.0500,-0.41,-0.18,-0.23,-0.03,0.22891,0.00646
404,0.0500,-0.41,-0.24,-0.32,-0.05,0.21520,0.00607
456,0.0520,-0.41,-0.29,-0.40,-0.07,0.21173,0.00597
507,0.0510,-0.25,-0.30,-0.37,-0.06,0.21180,0.00597
564,0.0570,-0.25,-0.30,-0.34,-0.05,0.21853,0.00616
614,0.0500,-0.25,-0.30,-0.30,-0.04,0.21834,0.00616
666,0.0520,-0.25,-0.30,-0.27,-0.02,0.21940,0.00619
717,0.0510,-0.33,-0.32,-0.27,-0.03,0.21855,0.00616
767,0.0500,-0.33,-0.33,-0.27,-0.02,0.21612,0.00609
817,0.0500,-0.33,-0.34,-0.27,-0.02,0.21329,0.00601
869,0.0520,-0.33,-0.35,-0.25,-0.01,0.21166,0.00597
920,0.0510,-0.33,-0.36,-0.24,-0.00,0.20882,0.00589
970,0.0500,-0.33,-0.36,-0.22,0.01,0.20521,0.00579
1020,0.0500,-0.33,-0.36,-0.20,0.02,0.20184,0.00569
1077,0.0570,-0.33,-0.36,-0.19,0.03,0.20335,0.00573
1128,0.0510,-0.25,-0.35,-0.13,0.07,0.20017,0.00564
1178,0.0500,-0.25,-0.33,-0.09,0.10,0.19672,0.00555
1228,0.0500,-0.25,-0.32,-0.05,0.13,0.19380,0.00547
1280,0.0520,-0.25,-0.31,-0.01,0.15,0.19256,0.00543
1331,0.0510,-0.25,-0.30,0.02,0.17,0.19082,0.00538
1381,0.0500,-0.25,-0.29,0.05,0.19,0.18870,0.00532
1431,0.0500,-0.25,-0.28,0.07,0.20,0.18691,0.00527
1483,0.0520,-0.25,-0.27,0.09,0.21,0.18656,0.00526
1534,0.0510,-0.41,-0.29,0.05,0.16,0.18556,0.00523
1591,0.0570,-0.41,-0.31,0.01,0.12,0.18813,0.00531
1641,0.0500,-0.41,-0.33,-0.02,0.09,0.18586,0.00524
1693,0.0520,-0.41,-0.34,-0.04,0.07,0.18498,0.00522
1744,0.0510,0.16,-0.25,0.14,0.22,0.18344,0.00517
1794,0.0500,0.16,-0.17,0.29,0.33,0.18137,0.00511
1844,0.0500,0.16,-0.10,0.41,0.42,0.17943,0.00506
1896,0.0520,0.16,-0.03,0.51,0.48,0.17866,0.00504
1947,0.0510,-0.25,-0.05,0.46,0.42,0.17717,0.00500
1997,0.0500,-0.25,-0.06,0.41,0.37,0.17511,0.00494
2047,0.0500,-0.25,-0.08,0.37,0.32,0.17311,0.00488
2104,0.0570,-0.25,-0.09,0.33,0.27,0.17465,0.00493
2155,0.0510,-0.16,-0.09,0.32,0.25,0.17251,0.00486
2205,0.0500,-0.16,-0.09,0.30,0.24,0.16991,0.00479
2255,0.0500,-0.16,-0.09,0.29,0.22,0.16745,0.00472
2307,0.0520,-0.16,-0.09,0.27,0.20,0.16599,0.00468
2358,0.0510,-0.25,-0.10,0.24,0.17,0.16398,0.00462
2408,0.0500,-0.25,-0.12,0.21,0.14,0.16154,0.00456
2458,0.0500,-0.25,-0.13,0.18,0.12,0.15920,0.00449
2510,0.0520,-0.25,-0.14,0.15,0.10,0.15777,0.00445
2561,0.0510,-0.16,-0.14,0.15,0.09,0.15583,0.00439
2618,0.0570,-0.16,-0.13,0.15,0.08,0.15626,0.00441
2668,0.0500,-0.16,-0.13,0.14,0.08,0.15352,0.00433
2720,0.0520,-0.16,-0.13,0.14,0.07,0.15168,0.00428
2771,0.0510,-0.49,-0.18,0.06,0.03,0.14947,0.00422
2821,0.0500,-0.49,-0.22,-0.00,-0.01,0.14697,0.00414
2871,0.0500,-0.49,-0.26,-0.06,-0.04,0.14461,0.00408
2923,0.0520,-0.49,-0.30,-0.10,-0.07,0.14304,0.00403
2974,0.0510,-0.08,-0.27,-0.06,-0.05,0.14111,0.00398
3024,0.0500,-0.08,-0.25,-0.03,-0.03,0.13891,0.00392
3074,0.0500,-0.08,-0.23,-0.00,-0.01,0.13681,0.00386
3131,0.0570,-0.08,-0.21,0.02,0.00,0.13692,0.00386
3182,0.0510,-0.16,-0.20,0.03,0.01,0.13495,0.00381
3232,0.0500,-0.16,-0.19,0.03,0.01,0.13276,0.00374
3282,0.0500,-0.16,-0.19,0.04,0.01,0.13068,0.00369
3334,0.0520,-0.16,-0.18,0.04,0.01,0.12926,0.00365
3385,0.0510,0.08,-0.15,0.08,0.03,0.12756,0.00360
3435,0.0500,0.08,-0.12,0.12,0.05,0.12565,0.00354
3485,0.0500,0.08,-0.09,0.15,0.06,0.12384,0.00349
3537,0.0520,0.08,-0.06,0.17,0.07,0.12259,0.00346
3588,0.0510,0.00,-0.04,0.19,0.08,0.12110,0.00341
3645,0.0570,0.00,-0.03,0.19,0.08,0.12106,0.00341
3695,0.0500,0.00,-0.02,0.20,0.08,0.11919,0.00336
3747,0.0520,0.00,-0.01,0.21,0.08,0.11788,0.00332
3798,0.0510,-0.41,-0.04,0.16,0.06,0.11635,0.00328
3848,0.0500,-0.41,-0.08,0.12,0.04,0.11466,0.00323
3898,0.0500,-0.41,-0.11,0.08,0.02,0.11306,0.00319
3950,0.0520,-0.41,-0.14,0.04,0.01,0.11194,0.00316
4001,0.0510,0.16,-0.10,0.08,0.02,0.11062,0.00312
4051,0.0500,0.16,-0.07,0.11,0.03,0.10915,0.00308
4101,0.0500,0.16,-0.04,0.13,0.04,0.10773,0.00304
4158,0.0570,0.16,-0.01,0.16,0.05,0.10771,0.00304
4209,0.0510,0.00,-0.00,0.16,0.05,0.10642,0.00300
4259,0.0500,0.00,0.00,0.16,0.05,0.10499,0.00296
4309,0.0500,0.00,0.01,0.16,0.05,0.10363,0.00292
4361,0.0520,0.00,0.02,0.17,0.05,0.10268,0.00290
4412,0.0510,0.16,0.04,0.18,0.06,0.10156,0.00286
4462,0.0500,0.16,0.06,0.19,0.06,0.10031,0.00283
4512,0.0500,0.16,0.08,0.21,0.06,0.09911,0.00279
4564,0.0520,0.16,0.10,0.22,0.07,0.09828,0.00277
4615,0.0510,0.25,0.12,0.23,0.07,0.09729,0.00274
4665,0.0500,0.25,0.14,0.24,0.07,0.09618,0.00271
4722,0.0570,0.25,0.17,0.25,0.08,0.09617,0.00271
4774,0.0520,0.25,0.19,0.26,0.08,0.09531,0.00269
4825,0.0510,0.25,0.20,0.27,0.08,0.09432,0.00266
4875,0.0500,0.25,0.22,0.28,0.08,0.09321,0.00263
4925,0.0500,0.25,0.24,0.28,0.08,0.09215,0.00260
4977,0.0520,0.25,0.25,0.29,0.08,0.09141,0.00258
5028,0.0510,0.49,0.29,0.31,0.09,0.09054,0.00255
5078,0.0500,0.49,0.32,0.33,0.09,0.08956,0.00253
5128,0.0500,0.49,0.35,0.34,0.10,0.08863,0.00250
5180,0.0520,0.49,0.38,0.36,0.10,0.08798,0.00248
5236,0.0560,6.08,0.90,0.75,0.23,0.08786,0.00248
5286,0.0500,6.08,1.38,1.11,0.35,0.08691,0.00245
5336,0.0500,6.08,1.84,1.44,0.46,0.08601,0.00243
5388,0.0520,6.08,2.27,1.74,0.55,0.08539,0.00241
5439,0.0510,132.56,13.38,10.14,3.39,0.08465,0.00239
5489,0.0500,132.56,23.84,17.82,5.93,0.08382,0.00236
5539,0.0500,132.56,33.69,24.81,8.17,0.08302,0.00234
5591,0.0520,132.56,43.04,31.21,10.17,0.08248,0.00233
5642,0.0510,207.14,57.94,41.53,13.43,0.08183,0.00231
5692,0.0500,207.14,71.96,50.93,16.32,0.08109,0.00229
5749,0.0570,207.14,85.62,59.65,18.89,0.08115,0.00229
5801,0.0520,207.14,98.29,67.51,21.15,0.08060,0.00227
5852,0.0510,637.43,144.59,99.24,31.18,0.07996,0.00225
5902,0.0500,637.43,188.24,128.27,40.14,0.07923,0.00223
5952,0.0500,637.43,229.47,154.83,48.12,0.07853,0.00221
6004,0.0520,637.43,268.80,179.23,55.22,0.07806,0.00220
6055,0.0510,921.42,327.88,216.80,66.46,0.07750,0.00219
6105,0.0500,921.42,383.58,251.16,76.46,0.07686,0.00217
6155,0.0500,921.42,436.27,282.56,85.34,0.07624,0.00215
6212,0.0570,921.42,488.31,311.93,93.20,0.07634,0.00215
6263,0.0510,942.55,537.55,339.29,100.45,0.07580,0.00214
6313,0.0500,942.55,583.81,364.05,106.76,0.07519,0.00212
6363,0.0500,942.55,627.54,386.49,112.23,0.07460,0.00210
6415,0.0520,942.55,669.67,406.98,116.90,0.07423,0.00209
6466,0.0510,1194.60,727.75,437.72,124.80,0.07376,0.00208
6516,0.0500,1194.60,782.37,465.56,131.68,0.07322,0.00206
6566,0.0500,1194.60,834.08,490.81,137.61,0.07271,0.00205
6618,0.0520,1194.60,884.02,513.90,142.68,0.07239,0.00204
6676,0.0580,1003.78,920.59,526.43,144.04,0.07263,0.00205
6726,0.0500,1003.78,951.18,536.30,144.88,0.07210,0.00203
6776,0.0500,1003.78,980.01,544.73,145.26,0.07159,0.00202
6828,0.0520,1003.78,1008.19,552.07,145.19,0.07129,0.00201
6879,0.0510,1180.58,1046.75,566.04,147.28,0.07090,0.00200
6929,0.0500,1180.58,1082.65,578.17,148.79,0.07044,0.00199
