Time [s],Time Change [s],Baro_P [m],Kalman_P [m],Kalman_V [m/s],Kalman_A [m/s^2],Kalman_Gain_P,Kalman_Uncertainty_P
151,0.0510,0.00,0.00,0.00,0.00,0.99504,0.49752
172,0.0210,0.00,0.00,0.00,0.00,0.52054,0.26027
194,0.0220,0.00,0.00,0.00,0.00,0.41302,0.20651
215,0.0210,-0.17,-0.06,-0.73,-0.07,0.39133,0.19567
235,0.0200,-0.17,-0.11,-1.11,-0.11,0.38417,0.19209
255,0.0200,-0.17,-0.15,-1.24,-0.13,0.37690,0.18845
277,0.0220,-0.17,-0.17,-1.21,-0.12,0.37400,0.18700
298,0.0210,-0.33,-0.24,-1.65,-0.21,0.35750,0.17875
323,0.0250,-0.33,-0.30,-1.78,-0.25,0.35334,0.17667
343,0.0200,-0.33,-0.33,-1.77,-0.25,0.32436,0.16218
365,0.0220,-0.33,-0.36,-1.68,-0.20,0.30670,0.15335
386,0.0210,-0.17,-0.33,-1.27,0.04,0.28761,0.14381
406,0.0200,-0.17,-0.30,-0.96,0.26,0.26900,0.13450
426,0.0200,-0.17,-0.28,-0.73,0.47,0.25384,0.12692
448,0.0220,-0.17,-0.27,-0.54,0.66,0.24547,0.12273
469,0.0210,-0.17,-0.25,-0.38,0.85,0.23593,0.11797
489,0.0200,-0.17,-0.24,-0.25,1.01,0.22616,0.11308
509,0.0200,-0.17,-0.23,-0.15,1.15,0.21840,0.10920
537,0.0280,-0.17,-0.21,-0.04,1.29,0.22664,0.11332
558,0.0210,-0.50,-0.28,-0.33,0.65,0.22019,0.11010
578,0.0200,-0.50,-0.33,-0.56,0.15,0.21357,0.10679
598,0.0200,-0.50,-0.37,-0.72,-0.22,0.20866,0.10433
620,0.0220,-0.50,-0.41,-0.85,-0.49,0.20854,0.10427
641,0.0210,-0.58,-0.46,-1.02,-0.88,0.20692,0.10346
661,0.0200,-0.58,-0.50,-1.15,-1.13,0.20408,0.10204
681,0.0200,-0.58,-0.53,-1.23,-1.27,0.20197,0.10098
703,0.0220,-0.58,-0.56,-1.27,-1.31,0.20381,0.10190
724,0.0210,-0.50,-0.57,-1.20,-1.06,0.20348,0.10174
749,0.0250,-0.50,-0.58,-1.10,-0.78,0.21002,0.10501
769,0.0200,-0.50,-0.58,-1.00,-0.52,0.20613,0.10307
791,0.0220,-0.50,-0.58,-0.90,-0.26,0.20615,0.10308
812,0.0210,-0.74,-0.63,-1.06,-0.59,0.20403,0.10202
832,0.0200,-0.74,-0.67,-1.16,-0.80,0.20027,0.10013
852,0.0200,-0.74,-0.70,-1.23,-0.91,0.19688,0.09844
874,0.0220,-0.74,-0.73,-1.26,-0.94,0.19686,0.09843
895,0.0210,-0.33,-0.68,-0.88,-0.10,0.19475,0.09738
915,0.0200,-0.33,-0.62,-0.55,0.57,0.19107,0.09553
935,0.0200,-0.33,-0.58,-0.27,1.11,0.18766,0.09383
963,0.0280,-0.33,-0.53,-0.01,1.55,0.19576,0.09788
984,0.0210,-0.08,-0.45,0.41,2.29,0.19155,0.09578
1004,0.0200,-0.08,-0.37,0.74,2.83,0.18631,0.09315
