Time [s],Time Change [s],Baro_P [m],Kalman_P [m],Kalman_V [m/s],Kalman_A [m/s^2],Kalman_Gain_P,Kalman_Uncertainty_P
141,0.0500,0.00,0.00,0.00,0.00,0.99504,0.49752
162,0.0210,0.00,0.00,0.00,0.00,0.52094,0.26047
190,0.0280,0.00,0.00,0.00,0.00,0.44071,0.22035
211,0.0210,0.08,0.03,0.37,0.04,0.40793,0.20396
231,0.0200,0.08,0.06,0.55,0.06,0.39066,0.19533
251,0.0200,0.08,0.07,0.61,0.06,0.37700,0.18850
273,0.0220,0.08,0.09,0.59,0.06,0.37060,0.18530
294,0.0210,-0.08,0.03,0.04,-0.07,0.35319,0.17660
314,0.0200,-0.08,-0.00,-0.27,-0.16,0.33115,0.16558
334,0.0200,-0.08,-0.03,-0.44,-0.22,0.31138,0.15569
356,0.0220,-0.08,-0.05,-0.53,-0.26,0.29943,0.14972
377,0.0210,-0.17,-0.09,-0.71,-0.37,0.28415,0.14207
397,0.0200,-0.17,-0.12,-0.81,-0.43,0.26802,0.13401
422,0.0250,-0.17,-0.15,-0.86,-0.46,0.26550,0.13275
444,0.0220,-0.17,-0.17,-0.86,-0.46,0.25464,0.12732
465,0.0210,-0.25,-0.20,-0.95,-0.56,0.24334,0.12167
485,0.0200,-0.25,-0.23,-1.00,-0.61,0.23233,0.11617
505,0.0200,-0.25,-0.25,-1.01,-0.61,0.22373,0.11187
527,0.0220,-0.25,-0.26,-1.00,-0.57,0.22059,0.11029
548,0.0210,-0.08,-0.24,-0.78,-0.13,0.21638,0.10819
568,0.0200,-0.08,-0.22,-0.60,0.27,0.21151,0.10575
588,0.0200,-0.08,-0.20,-0.43,0.62,0.20793,0.10396
616,0.0280,-0.08,-0.18,-0.26,0.96,0.21937,0.10969
637,0.0210,-0.08,-0.17,-0.12,1.24,0.21614,0.10807
657,0.0200,-0.08,-0.15,-0.00,1.46,0.21193,0.10597
677,0.0200,-0.08,-0.14,0.10,1.63,0.20873,0.10436
699,0.0220,-0.08,-0.12,0.19,1.77,0.20970,0.10485
720,0.0210,-0.25,-0.15,0.09,1.44,0.20865,0.10432
740,0.0200,-0.25,-0.16,0.01,1.18,0.20595,0.10298
760,0.0200,-0.25,-0.18,-0.06,0.97,0.20365,0.10183
782,0.0220,-0.25,-0.20,-0.10,0.82,0.20493,0.10246
803,0.0210,-0.66,-0.29,-0.57,-0.24,0.20391,0.10196
823,0.0200,-0.66,-0.38,-0.93,-1.03,0.20110,0.10055
848,0.0250,-0.66,-0.45,-1.22,-1.60,0.20647,0.10324
870,0.0220,-0.66,-0.52,-1.44,-1.98,0.20529,0.10265
891,0.0210,-0.25,-0.49,-1.19,-1.38,0.20222,0.10111
911,0.0200,-0.25,-0.46,-0.97,-0.89,0.19777,0.09888
931,0.0200,-0.25,-0.43,-0.78,-0.49,0.19380,0.09690
953,0.0220,-0.25,-0.41,-0.62,-0.14,0.19302,0.09651
974,0.0210,-0.41,-0.42,-0.61,-0.12,0.19045,0.09522
994,0.0200,-0.41,-0.43,-0.59,-0.09,0.18656,0.09328
1014,0.0200,-0.41,-0.44,-0.57,-0.05,0.18303,0.09152
1042,0.0280,-0.41,-0.45,-0.54,0.01,0.18992,0.09496
1063,0.0210,-0.33,-0.43,-0.44,0.18,0.18589,0.09294
1083,0.0200,-0.33,-0.42,-0.36,0.32,0.18098,0.09049
1103,0.0200,-0.33,-0.41,-0.28,0.43,0.17665,0.08833
1125,0.0220,-0.33,-0.40,-0.21,0.53,0.17502,0.08751
1146,0.0210,-0.17,-0.37,-0.04,0.79,0.17215,0.08608
1166,0.0200,-0.17,-0.33,0.10,0.98,0.16837,0.08418
1186,0.0200,-0.17,-0.30,0.22,1.14,0.16495,0.08248
1208,0.0220,-0.17,-0.28,0.32,1.26,0.16382,0.08191
1229,0.0210,-0.33,-0.28,0.31,1.21,0.16153,0.08077
1254,0.0250,-0.33,-0.28,0.31,1.16,0.16310,0.08155
1274,0.0200,-0.33,-0.28,0.30,1.11,0.15930,0.07965
1296,0.0220,-0.33,-0.28,0.30,1.07,0.15769,0.07884
1317,0.0210,-0.33,-0.29,0.29,1.04,0.15514,0.07757
1337,0.0200,-0.33,-0.29,0.29,1.00,0.15189,0.07595
1357,0.0200,-0.33,-0.29,0.29,0.97,0.14896,0.07448
1379,0.0220,-0.33,-0.29,0.28,0.94,0.14787,0.07393
1400,0.0210,-0.25,-0.28,0.32,0.96,0.14590,0.07295
1420,0.0200,-0.25,-0.27,0.35,0.98,0.14325,0.07163
1440,0.0200,-0.25,-0.26,0.38,0.98,0.14083,0.07041
1468,0.0280,-0.25,-0.25,0.40,0.98,0.14437,0.07218
1489,0.0210,-0.41,-0.26,0.35,0.90,0.14201,0.07100
1509,0.0200,-0.41,-0.28,0.31,0.82,0.13912,0.06956
1529,0.0200,-0.41,-0.29,0.27,0.76,0.13650,0.06825
1551,0.0220,-0.41,-0.30,0.24,0.70,0.13543,0.06771
