Time (s),Altitude (m),Air pressure (mbar)
0.01,0.001,1001.522
0.02,0.009,1001.521
0.03,0.033,1001.518
0.04,0.077,1001.513
0.05,0.143,1001.505
0.06,0.229,1001.495
0.07,0.336,1001.482
0.08,0.462,1001.467
0.09,0.606,1001.451
0.1,0.769,1001.431
0.11,0.95,1001.41
0.12,1.15,1001.387
0.13,1.358,1001.362
0.138,1.565,1001.338
0.147,1.771,1001.314
0.154,1.976,1001.29
0.162,2.181,1001.266
0.173,2.507,1001.228
0.189,3.036,1001.166
0.214,3.923,1001.062
0.252,5.458,1000.881
0.286,7.101,1000.689
0.316,8.689,1000.503
0.344,10.313,1000.312
0.372,12.062,1000.107
0.4,13.98,999.882
0.431,16.242,999.617
0.478,19.938,999.183
0.528,24.305,998.671
0.548,26.183,998.451
0.565,27.781,998.263
0.579,29.226,998.094
0.593,30.586,997.934
0.606,31.899,997.781
0.618,33.2,997.628
0.63,34.522,997.473
0.643,35.894,997.312
0.656,37.358,997.14
0.67,38.966,996.952
0.687,40.813,996.735
0.706,43.164,996.459
0.736,46.805,996.032
0.781,52.521,995.362
0.797,54.619,995.116
0.81,56.349,994.913
0.821,57.922,994.728
0.832,59.422,994.552
0.843,60.9,994.379
0.853,62.399,994.203
0.865,63.975,994.018
0.877,65.711,993.815
0.891,67.756,993.575
0.909,70.532,993.249
0.937,74.791,992.75
0.967,79.424,992.207
0.98,81.583,991.953
0.993,83.537,991.724
1.004,85.437,991.501
1.016,87.353,991.277
1.028,89.343,991.043
1.041,91.549,990.785
1.057,94.26,990.467
1.081,98.392,989.982
1.117,104.737,989.238
1.133,107.671,988.894
1.146,109.908,988.631
1.157,111.966,988.39
1.168,114.014,988.15
1.18,116.193,987.894
1.193,118.735,987.596
1.212,122.263,987.182
1.239,127.639,986.552
1.26,131.698,986.076
1.273,134.339,985.766
1.286,136.888,985.467
1.3,139.64,985.144
1.317,143.065,984.743
1.34,147.778,984.19
1.374,154.966,983.347
1.389,158.256,982.961
1.401,160.703,982.674
1.412,163.006,982.404
1.423,165.531,982.108
1.438,168.732,981.732
1.46,173.58,981.164
1.493,180.955,980.299
1.504,183.359,980.017
1.514,185.642,979.749
1.524,187.999,979.473
1.536,190.718,979.154
1.553,194.571,978.702
1.578,200.395,978.019
1.597,205.035,977.474
1.61,207.998,977.127
1.622,210.803,976.798
1.635,213.883,976.437
1.653,218.066,975.946
1.679,224.371,975.207
1.715,233.092,974.184
1.734,237.697,973.644
1.759,243.659,972.945
1.796,252.628,971.893
1.831,261.083,970.901
1.868,269.98,969.858
1.918,282.128,968.433
1.958,291.99,967.276
2.008,304.077,965.859
2.051,314.303,964.659
2.101,326.287,963.254
2.151,338.201,961.856
2.201,350.033,960.469
2.251,361.774,959.092
2.301,373.415,957.726
2.351,384.951,956.373
2.4,396.155,955.059
