Time [ms],Lat,Lng,GPS Alt [m],Sats,Pressure [hPa],Raw Baro Alt [m],Filter Baro Alt [m],Baro Vert Vel [m/s],Baro Vert Acc [m/s^2],Baro Temp [°C],Bat 1 Voltage [V],IMU Acc X [m/s^2],IMU Acc Y [m/s^2],IMU Acc Z [m/s^2],IMU Gyr X [deg/s],IMU Gyr Y [deg/s],IMU Gyr Z [deg/s],State
33096.00,0.0000,0.0000,0.00,0.00,1018.11,-1.41,-1.30,-0.42,-0.31,23.2,4.21,-5.87,1.78,-1.88,-2.84,-7.14,-7.05, 3
33123.00,0.0000,0.0000,0.00,0.00,1018.00,-0.50,-1.24,-0.35,-0.24,23.2,4.21,-4.41,2.85,-1.89,-2.96,-6.35,-8.78, 3
33133.00,0.0000,0.0000,0.00,0.00,1018.00,-0.50,-1.17,-0.28,-0.18,23.2,4.21,-3.45,3.04,-2.08,-2.88,-5.79,-9.36, 3
33144.00,0.0000,0.0000,0.00,0.00,1018.00,-0.50,-1.11,-0.22,-0.12,23.2,4.21,-2.91,3.07,-2.22,-2.60,-5.09,-9.95, 3
33155.00,0.0000,0.0000,0.00,0.00,1018.00,-0.50,-1.06,-0.17,-0.07,23.2,4.21,-2.14,3.24,-2.29,-2.01,-4.03,-10.53, 3
33166.00,0.0000,0.0000,0.00,0.00,1017.85,0.75,-0.89,-0.00,0.07,23.1,4.21,-1.26,3.40,-2.26,-1.40,-3.05,-10.83, 3
33176.00,0.0000,0.0000,0.00,0.00,1017.85,0.75,-0.75,0.14,0.20,23.1,4.21,-0.66,3.61,-2.16,-1.16,-2.13,-11.01, 3
33186.00,0.0000,0.0000,0.00,0.00,1017.85,0.75,-0.61,0.28,0.32,23.1,4.21,0.37,4.16,-1.65,-0.98,-1.59,-10.69, 3
33197.00,0.0000,0.0000,0.00,0.00,1017.85,0.75,-0.49,0.40,0.43,23.1,4.21,1.28,4.81,-1.03,-0.88,-1.32,-9.56, 3
33207.00,0.0000,0.0000,0.00,0.00,1017.91,0.25,-0.42,0.47,0.48,23.2,4.20,1.76,4.96,-0.86,-0.84,-1.33,-8.12, 3
33217.00,0.0000,0.0000,0.00,0.00,1017.91,0.25,-0.36,0.53,0.53,23.2,4.20,2.53,4.71,-0.78,-0.56,-1.37,-6.55, 3
33227.00,0.0000,0.0000,0.00,0.00,1017.91,0.25,-0.30,0.59,0.58,23.2,4.20,2.89,4.45,-0.74,-0.26,-1.43,-5.19, 3
33238.00,0.0000,0.0000,0.00,0.00,1017.91,0.25,-0.25,0.64,0.62,23.2,4.20,3.15,3.93,-0.89,0.06,-1.55,-3.82, 3
33249.00,0.0000,0.0000,0.00,0.00,1017.90,0.33,-0.19,0.70,0.66,23.2,4.20,3.14,3.71,-0.86,0.09,-1.66,-2.91, 3
33259.00,0.0000,0.0000,0.00,0.00,1017.90,0.33,-0.14,0.75,0.70,23.2,4.20,3.14,3.63,-0.80,-0.25,-1.80,-2.17, 3
33269.00,0.0000,0.0000,0.00,0.00,1017.90,0.33,-0.09,0.80,0.74,23.2,4.20,3.18,3.27,-0.90,-0.64,-1.72,-1.42, 3
33280.00,0.0000,0.0000,0.00,0.00,1017.90,0.33,-0.05,0.84,0.77,23.2,4.20,3.20,2.94,-0.99,-1.03,-1.34,-0.58, 3
33290.00,0.0000,0.0000,0.00,0.00,1017.85,0.75,0.03,0.92,0.83,23.2,4.20,3.09,2.36,-1.04,-1.24,-0.85,0.08, 3
33300.00,0.0000,0.0000,0.00,0.00,1017.85,0.75,0.10,0.98,0.88,23.2,4.20,2.89,1.92,-0.90,-1.37,-0.27,0.74, 3
33310.00,0.0000,0.0000,0.00,0.00,1017.85,0.75,0.16,1.05,0.93,23.2,4.21,2.32,1.14,-0.50,-1.36,0.09,1.15, 3
