Time [ms],Lat,Lng,GPS Alt [m],Sats,Pressure [hPa],Raw Baro Alt [m],Filter Baro Alt [m],Baro Vert Vel [m/s],Baro Vert Acc [m/s^2],Baro Temp [°C],Bat 1 Voltage [V],IMU Acc X [m/s^2],IMU Acc Y [m/s^2],IMU Acc Z [m/s^2],IMU Gyr X [deg/s],IMU Gyr Y [deg/s],IMU Gyr Z [deg/s],State
14914.00,0.0000,0.0000,0.00,0.00,1022.20,0.17,-0.39,0.54,0.54,22.2,4.28,1.80,-0.49,-0.59,-2.34,-1.21,-3.70, 3
14934.00,0.0000,0.0000,0.00,0.00,1022.20,0.17,-0.32,0.60,0.58,22.2,4.28,0.72,0.03,-0.11,-1.69,-0.66,-4.47, 3
14945.00,0.0000,0.0000,0.00,0.00,1022.20,0.17,-0.27,0.65,0.62,22.2,4.28,0.30,0.13,0.02,-1.26,-0.51,-4.62, 3
14955.00,0.0000,0.0000,0.00,0.00,1022.20,0.17,-0.22,0.70,0.66,22.2,4.28,-0.33,0.19,0.20,-0.76,-0.51,-4.66, 3
14966.00,0.0000,0.0000,0.00,0.00,1022.24,-0.17,-0.21,0.71,0.66,22.2,4.26,-1.04,0.21,0.28,-0.38,-0.57,-4.58, 3
14975.00,0.0000,0.0000,0.00,0.00,1022.24,-0.17,-0.20,0.72,0.66,22.2,4.26,-1.29,0.16,0.25,-0.21,-0.60,-4.39, 3
14985.00,0.0000,0.0000,0.00,0.00,1022.24,-0.17,-0.19,0.73,0.67,22.2,4.26,-1.54,-0.02,0.27,-0.17,-0.62,-4.29, 3
14995.00,0.0000,0.0000,0.00,0.00,1022.24,-0.17,-0.18,0.74,0.67,22.2,4.26,-1.68,-0.21,0.28,-0.13,-0.61,-4.27, 3
15005.00,0.0000,0.0000,0.00,0.00,1022.27,-0.41,-0.20,0.73,0.65,22.2,4.26,-1.85,-0.34,0.25,-0.21,-0.53,-4.28, 3
15015.00,0.0000,0.0000,0.00,0.00,1022.27,-0.41,-0.21,0.71,0.63,22.2,4.26,-1.99,-0.43,0.29,-0.48,-0.38,-4.33, 3
15024.00,0.0000,0.0000,0.00,0.00,1022.27,-0.41,-0.22,0.70,0.62,22.2,4.26,-2.13,-0.55,0.35,-0.66,-0.22,-4.47, 3
15038.00,0.0000,0.0000,0.00,0.00,1022.27,-0.41,-0.23,0.69,0.60,22.2,4.26,-2.27,-0.59,0.44,-0.60,0.09,-4.59, 3
15049.00,0.0000,0.0000,0.00,0.00,1022.27,-0.41,-0.24,0.68,0.59,22.2,4.26,-2.33,-0.49,0.54,-0.54,0.27,-4.45, 3
15059.00,0.0000,0.0000,0.00,0.00,1022.27,-0.41,-0.25,0.67,0.57,22.2,4.26,-2.40,-0.32,0.63,-0.62,0.38,-4.23, 3
15070.00,0.0000,0.0000,0.00,0.00,1022.27,-0.41,-0.25,0.66,0.56,22.2,4.24,-2.39,-0.28,0.74,-0.60,0.42,-3.89, 3
15082.00,0.0000,0.0000,0.00,0.00,1022.27,-0.41,-0.26,0.66,0.55,22.2,4.24,-2.34,-0.24,0.73,-0.57,0.38,-3.58, 3
15093.00,0.0000,0.0000,0.00,0.00,1022.29,-0.58,-0.28,0.63,0.52,22.2,4.24,-2.26,-0.21,0.72,-0.57,0.32,-3.19, 3
15103.00,0.0000,0.0000,0.00,0.00,1022.29,-0.58,-0.30,0.61,0.50,22.2,4.24,-2.21,-0.12,0.84,-0.60,0.14,-2.83, 3
15112.00,0.0000,0.0000,0.00,0.00,1022.29,-0.58,-0.32,0.59,0.48,22.2,4.24,-2.18,-0.04,0.83,-0.60,-0.04,-2.44, 3
15121.00,0.0000,0.0000,0.00,0.00,1022.29,-0.58,-0.34,0.58,0.46,22.2,4.24,-2.12,0.04,0.81,-0.61,-0.18,-2.00, 3
15132.00,0.0000,0.0000,0.00,0.00,1022.29,-0.58,-0.35,0.56,0.44,22.2,4.24,-2.01,0.12,0.72,-0.66,-0.32,-1.37, 3
15143.00,0.0000,0.0000,0.00,0.00,1022.34,-0.99,-0.40,0.51,0.39,22.2,4.24,-1.89,0.08,0.57,-0.72,-0.36,-0.92, 3
15153.00,0.0000,0.0000,0.00,0.00,1022.34,-0.99,-0.44,0.46,0.35,22.2,4.24,-1.77,0.00,0.42,-0.71,-0.36,-0.59, 3
15164.00,0.0000,0.0000,0.00,0.00,1022.34,-0.99,-0.49,0.42,0.31,22.2,4.24,-1.69,0.00,0.42,-0.66,-0.38,-0.38, 3
15176.00,0.0000,0.0000,0.00,0.00,1022.34,-0.99,-0.52,0.38,0.27,22.2,4.23,-1.66,0.01,0.38,-0.58,-0.40,-0.19, 3
15188.00,0.0000,0.0000,0.00,0.00,1022.27,-0.41,-0.51,0.39,0.28,22.2,4.23,-1.62,0.03,0.42,-0.39,-0.39,0.02, 3
15197.00,0.0000,0.0000,0.00,0.00,1022.27,-0.41,-0.50,0.41,0.28,22.2,4.23,-1.57,0.03,0.44,-0.21,-0.41,0.13, 3
15207.00,0.0000,0.0000,0.00,0.00,1022.27,-0.41,-0.49,0.41,0.29,22.2,4.23,-1.47,0.00,0.35,0.01,-0.40,0.17, 3
15218.00,0.0000,0.0000,0.00,0.00,1022.27,-0.41,-0.48,0.42,0.30,22.2,4.23,-1.37,-0.07,0.28,0.23,-0.35,0.12, 3
15229.00,0.0000,0.0000,0.00,0.00,1022.30,-0.66,-0.49,0.41,0.28,22.2,4.23,-1.25,-0.21,0.17,0.33,-0.24,-0.07, 3
15238.00,0.0000,0.0000,0.00,0.00,1022.30,-0.66,-0.50,0.40,0.27,22.2,4.23,-1.18,-0.34,0.05,0.31,-0.13,-0.27, 3
15248.00,0.0000,0.0000,0.00,0.00,1022.30,-0.66,-0.51,0.39,0.26,22.2,4.23,-1.14,-0.40,-0.05,0.21,0.02,-0.54, 3
15259.00,0.0000,0.0000,0.00,0.00,1022.30,-0.66,-0.52,0.38,0.25,22.2,4.23,-1.12,-0.36,-0.07,0.04,0.19,-0.78, 3
15270.00,0.0000,0.0000,0.00,0.00,1022.26,-0.33,-0.50,0.40,0.26,22.2,4.23,-1.10,-0.29,-0.06,-0.17,0.38,-0.98, 3
15280.00,0.0000,0.0000,0.00,0.00,1022.26,-0.33,-0.48,0.41,0.27,22.2,4.22,-1.10,-0.19,0.00,-0.26,0.49,-1.03, 3
15289.00,0.0000,0.0000,0.00,0.00,1022.26,-0.33,-0.46,0.43,0.28,22.2,4.22,-1.11,-0.14,0.06,-0.29,0.57,-1.05, 3
15299.00,0.0000,0.0000,0.00,0.00,1022.26,-0.33,-0.45,0.44,0.29,22.2,4.22,-1.09,-0.09,0.13,-0.28,0.60,-1.03, 3
15310.00,0.0000,0.0000,0.00,0.00,1022.26,-0.33,-0.44,0.45,0.30,22.2,4.22,-1.06,-0.09,0.14,-0.21,0.58,-1.01, 3
15322.00,0.0000,0.0000,0.00,0.00,1022.32,-0.83,-0.46,0.42,0.27,22.2,4.22,-1.02,-0.10,0.14,-0.09,0.56,-0.96, 3
15332.00,0.0000,0.0000,0.00,0.00,1022.32,-0.83,-0.49,0.40,0.24,22.2,4.22,-1.00,-0.09,0.15,-0.02,0.54,-0.89, 3
15341.00,0.0000,0.0000,0.00,0.00,1022.32,-0.83,-0.51,0.37,0.22,22.2,4.22,-1.00,-0.09,0.17,-0.02,0.48,-0.80, 3
